,Humidity,Cloudiness,Wind Speed,Country,City,Latitude,Longitude,Max Temperature,Date
0,73,30,7.7,NC,Poum,-20.2333,164.0167,75.54,1635136626
1,94,0,6.91,ZA,Port Elizabeth,-33.918,25.5701,53.89,1635136627
2,92,78,3.98,CL,Lebu,-37.6167,-73.65,53.1,1635136627
3,39,20,11.18,RU,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,1635136627
4,71,4,2.08,KI,Butaritari,3.0707,172.7902,82.35,1635136627
5,70,87,0.31,SB,Buala,-8.145,159.5921,84.15,1635136628
6,69,40,13.8,MU,Bambous Virieux,-20.3428,57.7575,79.21,1635136408
7,70,100,25.08,AU,Esperance,-33.8667,121.9,71.44,1635136628
8,51,67,2.21,SS,Malakal,9.5334,31.6605,78.39,1635136629
9,14,0,0.98,NE,Arlit,18.7369,7.3853,77.29,1635136629
10,78,61,15.73,PF,Rikitea,-23.1203,-134.9692,74.64,1635136421
11,78,20,8.05,TO,Vaini,-21.2,-175.2,78.96,1635136629
12,73,99,7.9,PH,Pandan,14.0453,124.1694,84.51,1635136630
13,64,68,8.99,MU,Cap Malheureux,-19.9842,57.6142,79.47,1635136630
14,92,99,4.03,US,Albany,42.6001,-73.9662,49.68,1635136435
15,86,90,5.75,US,Barrow,71.2906,-156.7887,26.62,1635136425
16,84,90,0.0,US,Palmer,42.1584,-72.3287,51.22,1635136630
17,68,75,14.97,SJ,Longyearbyen,78.2186,15.6401,21.04,1635136631
18,100,75,16.11,CA,Yellowknife,62.456,-114.3525,41.41,1635136631
19,70,61,7.72,IN,Port Blair,11.6667,92.75,84.24,1635136631
20,74,100,9.51,ID,Sorong,-0.8833,131.25,83.77,1635136632
21,70,78,15.64,AU,Busselton,-33.65,115.3333,57.04,1635136632
22,89,90,0.0,US,Fairbanks,64.8378,-147.7164,26.1,1635136340
23,90,99,5.06,RU,Zhigansk,66.7697,123.3711,25.54,1635136632
24,90,13,2.64,BY,Forsytheganj,52.6333,29.7333,29.95,1635136633
25,78,100,11.21,KZ,Dossor,47.5272,52.9811,54.25,1635136633
26,18,5,1.32,YE,Marzuq,14.4,46.4667,74.37,1635136633
27,97,95,7.78,BR,Castro,-24.7911,-50.0119,54.99,1635136634
28,53,57,14.97,AU,Carnarvon,-24.8667,113.6333,75.27,1635136634
29,93,90,13.8,CL,Punta Arenas,-53.15,-70.9167,35.71,1635136581
30,94,99,3.31,VE,Upata,8.0086,-62.3989,71.53,1635136634
31,68,77,3.69,PH,Dingle,10.9995,122.6711,87.57,1635136634
32,70,5,18.48,PF,Atuona,-9.8,-139.0333,78.26,1635136635
33,88,98,18.19,RU,Tazovsky,67.4667,78.7,21.9,1635136635
34,58,0,2.3,ZA,Upington,-28.4478,21.2561,55.78,1635136635
35,73,75,0.0,TT,Chaguanas,10.5167,-61.4167,78.75,1635136636
36,90,100,16.35,VN,Tuy Hoa,13.0833,109.3,78.71,1635136636
37,68,75,1.99,US,Fortuna,40.5982,-124.1573,53.37,1635136636
38,100,75,0.0,MX,Puerto Madero,14.7208,-92.4215,79.0,1635136637
39,96,99,5.39,RU,Pevek,69.7008,170.3133,5.18,1635136637
40,70,1,6.96,GL,Upernavik,72.7868,-56.1549,14.18,1635136637
41,73,37,1.99,PT,Ribeira Grande,38.5167,-28.7,65.89,1635136638
42,72,80,7.96,PW,Kloulklubed,7.0419,134.2556,88.3,1635136638
43,84,100,3.02,BR,Posse,-14.0931,-46.3694,70.95,1635136638
44,77,36,6.73,PG,Lorengau,-2.0226,147.2712,83.43,1635136429
45,96,96,10.0,EC,Puerto Ayora,-0.7393,-90.3518,68.56,1635136639
46,67,74,1.01,HK,Hong Kong,22.2855,114.1577,79.03,1635136466
47,91,90,9.22,US,Rome,43.2128,-75.4557,51.66,1635136614
48,71,91,7.94,MM,Pathein,16.7833,94.7333,85.71,1635136639
49,69,0,4.0,ZA,Cape Town,-33.9258,18.4232,58.26,1635136639
50,73,96,4.03,NZ,Mataura,-46.1927,168.8643,64.31,1635136640
51,96,95,3.0,CF,Zemio,5.0314,25.1361,70.11,1635136640
52,100,86,1.74,ES,Bereda,43.2686,-7.5406,49.75,1635136640
53,93,0,3.44,ZA,Bredasdorp,-34.5322,20.0403,52.29,1635136641
54,74,0,7.36,BR,Cidreira,-30.1811,-50.2056,58.17,1635136641
55,78,0,10.36,ZA,Hermanus,-34.4187,19.2345,52.9,1635136641
56,69,41,6.98,MW,Nsanje,-16.92,35.262,80.33,1635136642
57,72,61,9.28,CV,São Filipe,14.8961,-24.4956,77.13,1635136642
58,55,100,5.55,JP,Ryōtsu-minato,38.0833,138.4333,60.76,1635136642
59,85,22,9.86,PE,Hualmay,-11.0964,-77.6139,61.9,1635136643
60,69,40,13.8,MU,Mahébourg,-20.4081,57.7,79.25,1635136643
61,100,0,6.46,PT,Praia da Vitória,38.7333,-27.0667,62.76,1635136643
62,96,90,3.0,US,Jamestown,42.097,-79.2353,52.92,1635136409
63,72,92,3.0,NZ,Dunedin,-45.8742,170.5036,58.8,1635136482
64,75,100,2.06,PH,Tagusao,9.1924,117.8141,82.31,1635136644
65,99,100,2.77,RU,Chokurdakh,70.6333,147.9167,-4.52,1635136644
66,23,0,5.75,AU,Yulara,-25.2406,130.9889,87.64,1635136644
67,58,0,11.3,GL,Qaanaaq,77.484,-69.3632,-4.76,1635136645
68,77,56,12.01,RU,Yalutorovsk,56.6536,66.3006,41.49,1635136645
69,63,85,5.3,ID,Rantepao,-2.9701,119.8978,82.58,1635136645
70,88,75,20.71,US,Kapaa,22.0752,-159.319,80.58,1635136646
71,97,98,2.21,CO,Inírida,3.8653,-67.9239,74.41,1635136646
72,69,75,5.75,VU,Isangel,-19.55,169.2667,82.51,1635136646
73,73,19,12.08,RU,Katangli,51.7102,143.2326,48.36,1635136646
74,93,1,2.3,CA,Fort Nelson,58.8053,-122.7002,26.19,1635136647
75,82,40,5.75,PT,Ponta Delgada,37.7333,-25.6667,63.32,1635136647
76,74,75,1.01,AU,Hobart,-42.8794,147.3294,56.01,1635136647
77,70,100,10.22,SO,Hobyo,5.3505,48.5268,80.82,1635136648
78,100,90,8.05,FI,Kempele,64.9131,25.5034,33.13,1635136648
79,84,75,2.82,SV,Acajutla,13.5928,-89.8275,79.84,1635136648
80,81,60,3.36,BR,Jardim,-21.4803,-56.1381,62.71,1635136649
81,93,75,4.61,CA,Norman Wells,65.282,-126.8329,23.04,1635136406
82,93,100,0.22,CD,Mbandaka,0.0487,18.2603,71.92,1635136649
83,88,99,2.04,BR,Niquelândia,-14.4739,-48.4597,72.75,1635136649
84,16,78,2.37,AF,Herat Province,34.5,62.0,61.11,1635136650
85,100,95,2.91,RU,Tiksi,71.6872,128.8694,-0.71,1635136412
86,94,100,3.96,NO,Sørland,67.667,12.6934,39.27,1635136650
87,88,98,2.59,CO,Pizarro,4.9533,-77.366,77.45,1635136650
88,96,100,17.94,IS,Husavik,66.0449,-17.3389,37.31,1635136651
89,21,5,8.93,MR,Adrar,20.5022,-10.0711,78.12,1635136651
90,85,8,3.0,PT,Lata,40.1629,-8.3327,50.41,1635136486
91,98,100,1.23,RU,Deputatsky,69.3,139.9,2.53,1635136651
92,85,100,5.39,RU,Kizner,56.2749,51.508,37.36,1635136389
93,80,90,13.8,AR,Ushuaia,-54.8,-68.3,33.46,1635136652
94,66,0,3.04,IN,Mon,26.75,95.1,77.56,1635136652
95,74,98,2.68,ID,Sijunjung,-0.6876,100.9537,83.62,1635136652
96,87,100,11.34,RU,Nikolskoye,59.7035,30.7861,37.87,1635136653
97,82,3,19.01,KM,Fomboni,-12.28,43.7425,80.71,1635136653
98,81,52,6.58,JM,Lucea,18.451,-78.1736,82.26,1635136653
99,81,100,10.18,PF,Faanui,-16.4833,-151.75,78.04,1635136653
100,67,0,13.58,ZA,Port Alfred,-33.5906,26.891,61.79,1635136654
101,75,72,7.05,MV,Dhidhdhoo,6.8833,73.1,82.42,1635136381
102,97,100,3.98,NZ,Tuatapere,-46.1333,167.6833,56.21,1635136654
103,90,100,15.03,RU,Khatanga,71.9667,102.5,3.02,1635136405
104,67,0,11.18,BR,Rio Grande,-32.035,-52.0986,57.58,1635136655
105,16,0,2.82,IR,Tabas,33.5959,56.9244,69.53,1635136655
106,77,100,4.43,CA,Fort Saint James,54.4333,-124.25,40.98,1635136655
107,68,58,7.18,ID,Majene,-3.5403,118.9707,85.35,1635136656
108,100,20,2.3,CA,Thompson,55.7435,-97.8558,26.76,1635136596
109,91,90,5.75,US,Hilo,19.7297,-155.09,75.27,1635136399
110,72,0,4.14,BR,Santa Maria,-29.6842,-53.8069,53.29,1635136656
111,35,100,13.47,CN,Shitanjing,39.2342,106.3439,51.13,1635136656
112,99,100,0.4,CD,Buta,2.7858,24.73,70.93,1635136657
113,97,100,1.43,BR,Fonte Boa,-2.4959,-66.2662,72.68,1635136657
114,80,75,1.01,US,Ontario,34.0633,-117.6509,64.87,1635136574
115,89,100,14.36,NZ,Bluff,-46.6,168.3333,55.42,1635136657
116,86,100,2.35,RU,Srednekolymsk,67.45,153.6833,1.2,1635136631
117,21,0,8.88,AR,San Rafael,-34.6177,-68.3301,68.13,1635136472
